採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/8/4 下午 02:30:00,1293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/7/7 下午 02:52:00,1293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/6/3 下午 02:18:00,1293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/5/4 下午 02:20:00,1293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/4/6 下午 02:47:00,1293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/3/2 下午 02:31:00,1293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/2/5 下午 02:46:00,1293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/1/7 下午 04:15:00,1293,1.0,17.6,18.3,7.8,134,9.4,9.6,100.8,<1.0,6.7,1.8,2800,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/12/2 下午 12:55:00,1332,1.0,23.6,18.6,7.5,142,9.3,9.4,101.2,<1.0,<4.0,<1.0,240,0.03,--,0.027,1.22,0.17,0.012,<0.001,<0.003,<0.002,0.0003,<0.0003,<0.001,0.005,<0.005,<0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/11/3 下午 01:17:00,1332,2.3,19.2,18.7,7.8,161,9.5,9.5,101.2,<1.0,<4.0,65.5,1800,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/10/17 下午 12:45:00,1332,1.0,26.6,21.6,7.5,152,8.9,8.8,100.6,<1.0,7.4,10.4,1400,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/9/9 上午 11:06:00,1332,1.0,29.8,26.5,8.6,165,9.0,9.2,115.6,<1.0,<4.0,1.4,450,0.03,--,0.039,0.94,0.30,<0.001,<0.001,<0.003,<0.002,0.0009,<0.0003,<0.001,0.028,<0.005,<0.001,<0.001,--,--,--,--
